"CH01","CH010001","194","156","155","505"
"CH01","CH010001","194","156","155","505"
"CH01","CH010002","172","167","169","508"
"CH01","CH010002","172","167","169","508"
"CH01","CH010003","124","170","148","442"
"CH01","CH010003","124","170","148","442"
"CH01","CH010004","174","152","192","518"
"CH01","CH010004","174","152","192","518"
"CH01","CH010005","119","153","148","420"
"CH01","CH010005","119","153","148","420"
"CH01","CH010006","181","169","190","540"
"CH01","CH010007","168","154","136","458"
"CH01","CH010008","140","132","178","450"
"CH01","CH010009","135","203","168","506"
"CH01","CH010010","120","145","170","435"
"CH01","CH010010","120","145","170","435"
"CH01","CH010011","155","158","131","444"
"CH01","CH010011","155","158","131","444"
"CH01","CH010012","109","111","145","365"
"CH01","CH010012","109","111","145","365"
"CH01","CH010013","162","167","163","492"
"CH01","CH010013","162","167","163","492"
"CH01","CH010014","159","150","180","489"
"CH01","CH010014","159","150","180","489"
"CH01","CH010015","160","169","160","489"
"CH01","CH010015","160","169","160","489"
"CH02","CH020002","192","170","185","547"
"CH02","CH020003","167","135","148","450"
"CH02","CH020004","184","121","137","442"
"CH02","CH020005","104","121","142","367"
"CH02","CH020006","153","118","140","411"
"CH02","CH020007","108","113","96","317"
"CH02","CH020008","96","114","112","322"
"CH02","CH020009","169","129","133","431"
"CH02","CH020010","93","117","144","354"
"CH02","CH020011","129","119","87","335"
"CH02","CH020012","96","86","92","274"
"CH02","CH020013","89","105","120","314"
"CH02","CH020014","133","108","138","379"
"CH02","CH020015","113","123","105","341"
"CH02","CH020016","149","163","179","491"
"CH02","CH020017","112","111","103","326"
"CH02","CH020018","113","86","128","327"
"CH02","CH020019","117","74","138","329"
"CH02","CH020020","143","133","125","401"
"CH02","CH020021","182","204","179","565"
"CH02","CH020022","122","119","109","350"
"CH02","CH020023","133","150","143","426"
"CH02","CH020024","117","110","88","315"
"CH02","CH020025","139","130","124","393"
"CH02","CH020026","130","131","133","394"
"CH02","CH020027","114","130","126","370"
"CH02","CH020028","123","104","121","348"
"CH02","CH020029","116","141","143","400"
"CH02","CH020030","135","112","111","358"
"CH02","CH020031","165","139","186","490"
"CH02","CH020032","125","154","133","412"
"CH02","CH020033","137","145","134","416"
"CH02","CH020034","142","139","132","413"
"CH02","CH020035","148","139","91","378"
"CH02","CH020036","94","163","123","380"
"CH02","CH020037","158","178","133","469"
"CH02","CH020038","127","121","109","357"
"CH02","CH020039","130","137","117","384"
"CH02","CH020040","146","114","153","413"
"CH02","CH020041","149","148","125","422"
"CH02","CH020042","109","122","91","322"
"CH02","CH020043","87","116","142","345"
